advisory_id,advisory_name,issue_months,season,regular_or_adhoc,target_activity,target_region,risk_pattern,hazard_summary,verification,evidence_note,evidence_url
SA_11,감귤 수확철 안전사고 주의보,"10,11,12",가을·초겨울,정기,Harvesting(감귤 수확),감귤 농가 전역,FallRisk,사다리 낙상·농기계,INFERRED,제주 특화 시기성 위험(수확철 사다리·운반) — 발령 명칭·이력 확인 필요,
SA_12,겨울철 미끄러짐(빙판길) 안전사고 주의보,"12,1,2",겨울,정기,Walking(보행),도심·산간도로·오름 진입로,IceSlipRisk,결빙·낙상,INFERRED,기온 0℃ 이하+강수 결빙 규칙과 대응 — 발령 이력 확인 필요,
SA_13,겨울철 난방기기 화재 주의보,"11,12,1,2",겨울,정기,IndoorHeating(난방기기 사용),주거·숙박시설,FireRisk,화재,INFERRED,전국 소방 겨울철 소방안전대책 기간(11~2월) 관행 — 제주 개별 발령 확인 필요,
SA_14,일산화탄소 중독 안전사고 주의보,"10,11,12,1,2",가을·겨울,정기,Camping(캠핑·차박·낚시 텐트),캠핑장·해안 낚시터,COPoisoningRisk,일산화탄소 중독,INFERRED,소방청 낚시·캠핑 CO 중독 주의 당부(전국) — 제주 발령 확인 필요,https://www.korea.kr/news/policyNewsView.do?newsId=148935488
SA_15,설 연휴 안전사고 주의보,"1,2",겨울,정기,HolidayActivity(귀성·이동·조리),도 전역,TrafficCompositeRisk,교통·화재 복합,INFERRED,명절 연휴 주의보 발령은 전국 소방 관행 — 제주 발령 이력 확인 필요,
SA_16,해빙기 안전사고 주의보,"2,3",늦겨울·초봄,정기,Trekking·Walking(산행·보행),절개지·낙석 우려 구간,RockfallRisk,낙석·붕괴,INFERRED,행안부 해빙기 안전점검 기간(2~3월) 제도와 대응 — 제주 발령 확인 필요,
SA_17,봄철 산행 안전사고 주의보,"3,4,5",봄,정기,Trekking(오름·올레·한라산),한라산·오름·올레길,MountainAccidentRisk,실족·조난,INFERRED,길잃음 통계상 3~5월 야외활동 급증 확인 — 별도 발령 여부 확인 필요,https://www.khan.co.kr/article/202504181342001
SA_18,폭염(온열질환) 안전사고 주의보,"7,8",여름,정기,OutdoorActivity(야외활동 전반),그늘 없는 야외 관광지,HeatIllnessRisk,온열질환,INFERRED,질병관리청 온열질환 응급실감시체계(5~9월) 연동 — 소방 자체 발령 확인 필요,
SA_19,갯바위·테트라포드 낚시 안전사고 주의보,"9,10,11",가을,정기,Fishing(갯바위·방파제 낚시),해안 낚시터·항포구,DrowningRisk,실족·익수,INFERRED,"소방청 낚시 사고 653건/년, 심정지 43건 중 익수 60.5% — 제주 발령 확인 필요",https://www.korea.kr/news/policyNewsView.do?newsId=148935488
SA_20,태풍 내습 대비 안전사고 주의보,"7,8,9",여름·초가을,수시,OutdoorActivity(전 야외활동),해안·하천·전역,TyphoonRisk,강풍·침수·파고 복합,INFERRED,태풍 북상 시 수시 발령(재난안전대책본부 비상단계 연동) — 발령 체계 확인 필요,
