placeId,fix,field,before,after,reason
P114,FIX51,activityAccess,CONDITIONAL,UNAVAILABLE,핵심 체험(잠수함 승선) 자체가 불가
P114,FIX51,recommendForMobility,Y,N,핵심 체험 불가
P114,FIX51,mobilityCaveat,(공백),우도에 들어가는 관광지가 아닙니다. 성산포항에서 유람선으로 해상 잠수함 선착장까지 이동한 뒤 사다리를 이용해,이동 경로 정정 및 체험 구조 안내
P114,FIX51,accessVerdictReason,시설접근 기준 판정 — 활동참여 개별 근거 미확보,활동참여 불가 — 성산포항 유람선 환승 후 잠수함 사다리 승하선. 우도 입도 시설이 아님,판정 근거
P114,FIX51,partialReason,[도서] 여객선 승선 시 높이차·선내 계단. 섬 내 이동수단 별도 확인 필요,[FIX51] 우도 도항선 제약이 아니라 잠수함 자체 구조가 불가 사유,판정 근거
P114,FIX51,verifyNote,(공백),"한국관광공사 여행지 정보 확인(2026-08) — 성산포항에서 해저 잠수함 선착장까지 유람선 이동, 선착장에",근거 및 미확인 사항
P114,FIX51,correctionHistory,(공백)," | FIX51: 우도 입도시설 오분류 정정, 활동 불가 확정",이력
P631,FIX51,wheelchairAccess,PARTIAL,UNKNOWN,보행로 유효폭·단차·경사·차도 분리 근거 없음 — 과잉 판정 정정
P631,FIX51,mobilityAccess,PARTIAL,UNKNOWN,동일
P631,FIX51,strollerAccess,PARTIAL,UNKNOWN,동일
P631,FIX51,activityAccess,CONDITIONAL,UNKNOWN,현장 근거 미확보 — 불가가 아니라 미조사
P631,FIX51,recommendForMobility,Y,N,추자도까지 여객선 필수 + 교량 접근성 미확인
P631,FIX51,mobilityCaveat,(공백),"상추자도와 하추자도를 잇는 교량이라는 기본 정보만 확인되고, 보행로 폭·단차·경사·차도 분리 여부는 조사되지",미조사 상태 명시
P631,FIX51,accessVerdictReason,시설접근 기준 판정 — 활동참여 개별 근거 미확보,"미조사 — 교량 보행 접근성 근거 미확보, 여객선 도달 제약 병존",판정 근거
P631,FIX51,partialReason,(공백),[FIX51] 근거 없는 PARTIAL 정정 — UNKNOWN 은 불가가 아니라 미조사,판정 근거
P631,FIX51,verifyNote,(공백),비짓제주 기본 제원 외 접근성 상세 미발견(2026-08). 현장 실측 또는 지자체 도로 도면 확인 필요,근거
P631,FIX51,correctionHistory,(공백), | FIX51: 근거 없는 PARTIAL → UNKNOWN,이력
