placeId,fix,field,before,after,reason
P878,FIX35,mobilityCaveat,(공백),휠체어 이용 가능 구간은 '사계포구~송악산 주차장' 2.9km 구간에 한합니다(구간 난이도 중). 평지·연석 보차구분으로 안전 보행. 사계포구클린화장실 진입로 16도 급경사,구간명·거리 필수 안내 — 서비스 RETURN 절에 실리는 필드로 합성
P992,FIX36,activityEvidence,(공백),"한국관광공사 열린관광 모두의여행 무장애 관광정보 등재 — 장애인 전용주차 2대, 주출입구까지 약 40m, 부지 넓음(시설접근 근거). 만 14세 이상 이용. ATV·버기카는 이용자가 직접 운전·조작하는 구조. 운영사 공식 장애인 이용제한 문구는 확인되지 않음 — 사전 문의 필수(064-738-0500)",웹 1차 출처 확인 반영(2026-08)
P992,FIX36,sourceCheckUrl,https://easyjeju.net,https://easyjeju.net · access.visitkorea.or.kr(열린관광 등재) · daeyooland.com,웹 1차 출처 확인 반영(2026-08)
P992,FIX36,verifyStatus,VERIFIED,PARTIAL,웹 1차 출처 확인 반영(2026-08)
P992,FIX36,verifyNote,검증완료(2026-07) — 시설/활동 분리 판정,시설접근은 열린관광 공식 등재로 확인. activityAccess=UNAVAILABLE은 조작 구조 기반 추론 — 운영사 명시 문구 미확보(2026-08 재확인),웹 1차 출처 확인 반영(2026-08)
P951,FIX36,activityEvidence,(공백),세리월드 공식 요금안내(seriworld.modoo.at) — 장애인의 경우 상황에 따라 카트 이용을 제한할 수 있고 탑승을 거부할 수 있음이 명시됨. 2인승은 성인 보호자 동승 조건. 임산부·노약자 이용 제한. 미로공원은 통로 폭이 좁음,웹 1차 출처 확인 반영(2026-08)
P951,FIX36,sourceCheckUrl,https://easyjeju.net,https://easyjeju.net · https://seriworld.modoo.at/?link=9udmzefr (공식 요금·이용안내),웹 1차 출처 확인 반영(2026-08)
P951,FIX36,verifyStatus,VERIFIED,VERIFIED,웹 1차 출처 확인 반영(2026-08)
P951,FIX36,verifyNote,검증완료(2026-07) — 시설/활동 분리 판정,운영사 공식 홈페이지 명시 문구로 직접 확인(2026-08). 단 판정 범위는 카트레이싱 기준 — 승마·미로공원·유로번지는 개별 미판정,웹 1차 출처 확인 반영(2026-08)
P944,FIX36,activityEvidence,(공백),"조브 신장 130cm 이상·빅조브 150cm 이상, 체중 90kg 이상 탑승 불가, 기본 2인 동승. 경사면을 170~300m 굴러 내려오는 구조. 운영사 공식 장애인 이용제한 문구는 확인되지 않음 — 사전 문의 필수",웹 1차 출처 확인 반영(2026-08)
P944,FIX36,sourceCheckUrl,https://easyjeju.net,https://easyjeju.net · visitjeju.net · 예약처 공통 탑승기준(신장·체중),웹 1차 출처 확인 반영(2026-08)
P944,FIX36,verifyStatus,VERIFIED,PARTIAL,웹 1차 출처 확인 반영(2026-08)
P944,FIX36,verifyNote,검증완료(2026-07) — 시설/활동 분리 판정,탑승 신체기준(신장·체중)은 확인. activityAccess=UNAVAILABLE은 자세 유지 요구 구조 기반 추론 — 운영사 명시 문구 미확보(2026-08 재확인),웹 1차 출처 확인 반영(2026-08)
